diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,likes,comments,views,bud_dry_weight,bud_wet_weight
Super Sativa Selection under MarsH 1/2,Choco Haze,Zamnesia Seeds,300 watt,"Dynomyco,BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,1.2,17,,63,24,2229,,220
Cookies Gelato - Farm #11,Cookies Gelato Automatic,Royal Queen Seeds,174 watt,"RQS Organic Nutrients,PLAGRON.,",Manual,"Soil Grow Medium,",Directly In Substrate,,0.72,11,1,41,6,974,61,
WSE Blackberry Kush UnitFarm UF4000V2,Blackberry Kush feminized seeds,Weedseedsexpress,400 watt,,Manual,"Soil Grow Medium,",Glass Of Water,"Defoliation,Topping,LST,",2.74,17,2,55,24,268,147.4,478
gypsy,Critical Kush Auto,Barney'S Farm,600 watt,"Advanced Nutrients,House & Garden,",Manual,"Soil Grow Medium,",,,,7,9,11,5,439,,630
Apple Betty #2,Apple Betty,Herbies Seeds,,"Advanced Nutrients,",,,,"LST,ScrOG,",,12,2,3,4,746,,340.19
Mountaintop Mint - clones,Mountaintop Mint,Humboldt Seed Company,200 watt,"Cutting Edge Solutions,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"ScrOG,SoG,Topping,",0.91,25,2,20,7,656,42.52,816.47
Acapulco gold auto (Auto seeds) DWC,Acapulco Gold,Auto Seeds,480 watt,"Blue Planet Nutrients,Athena,",Hydroponics,"Clay pebbles Grow Medium,Water Grow Medium,Rockwool Grow Medium,",Glass Of Water,"Root pruning,Defoliation,LST,Lollipopped,",5.02,13,1,165,34,862,,300
banapurp,Banana Purple Punch Auto,Fast Buds,100 watt,"BioBizz,Growth Technology,",Manual,"Autre Grow Medium,",Paper Towel,"LST,Defoliation,",,8,1,26,9,316,11,80
Gg4 in dwc,bsb genetics gorilla glue #4,Custom Breeder & Strain,480 watt,,Hydroponics,"Water Grow Medium,",,,,10,1,1,0,56,,
lemonade session,lemon cake,Custom Breeder & Strain,,,Manual,"Soil Grow Medium,Soil Grow Medium,",,"LST,Topping,",,FLOWERING,,2,1,401,,
Strawberry Banana - FastBuds,Strawberry Banana Auto,Fast Buds,200 watt,"PLAGRON.,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Other,"Defoliation,LST,Lollipopping,Defoliation,",0.6,14,1,46,7,743,61,
Chocolate Wafflez,Chocolate Wafflez,Paradise Seeds,330 watt,"Bio Tabs,",Manual,"Soil Grow Medium,",Directly In Substrate,,0.24,13,2,101,30,1766,90.3,324.1
Apple Fritter,Apple Fritter,Zamnesia Seeds,330 watt,"Bio Tabs,",Manual,"Soil Grow Medium,",Directly In Substrate,,0.12,13,1,125,46,2313,49.7,169.4
Green gelato super auto,Green Gelato Automatic,Royal Queen Seeds,,"Green House Feeding,",Manual,"Coco Coir Grow Medium,",Glass Of Water,"Defoliation,",0.8,12,3,9,3,662,,80
Tiny pot challenge. Ice cream cup,Ice cream cake local breeder,Custom Breeder & Strain,240 watt,"General Hydroponics (GHE),Fox Farm,",Manual,"Soil Grow Medium,",Glass Of Water,"12-12 from third node in second week.,LST,FIMing,Defoliation,",2.44,11,1,14,14,328,2.9,17
My First Autoflower,Bruce Banner Auto,Ganja Farmer Seeds,300 watt,"Dr. Earth,PLAGRON.,",Manual,"Worm Castings Grow Medium,Sphagnum Peat moss Grow Medium,Lava rock Grow Medium,",Directly In Substrate,"LST,",9.75,12,1,36,19,381,56.98,229.63
AlienZ In Mars,AlienZ,Green House Seed Co.,"LED / 480W FC-E 4800,",,Manual,,Paper Towel,"ScrOG,Topping,Defoliation,",,24,,110,31,810,,
Cloud walker on Mars,Cloud Walker,Green House Seed Co.,"LED / 480W FC-E 4800,",,Manual,,Paper Towel,"ScrOG,",,24,,138,18,648,,
Still a Newbie,Durban Sunrise Auto,Twenty20,300 watt,"BuildASoil,Dynomyco,",Manual,"Soil Grow Medium,",Glass Of Water,"LST,Defoliation,",,9,1,14,4,341,,43
Ethos Candy Store,Candy Store RBX,ETHOS Genetics,"LED / 760W Custom,LED / 760W Custom,","New Millenium,General Hydroponics (GHE),FloraFlex,Terpinator,",Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Coco Coir Grow Medium,Perlite Grow Medium,",,"ScrOG,Topping,LST,Defoliation,",,FLOWERING,,13,4,466,,
SouthMissGardens,Northern Lights,Seedsman,100 watt,"Gaia Green,",Manual,"Soil Grow Medium,Other Grow Medium,",Glass Of Water,"LST,",,12,1,1,1,77,,70.87
Random Auto 'From Vegas',Random Gifted Strain,Custom Breeder & Strain,100 watt,"Gaia Green,",Manual,"Soil Grow Medium,",,"LST,Defoliation,",,11,1,1,1,68,,85.05
1st time blueprint,Forbbiden blueprint - el Krem,Custom Breeder & Strain,"LED / 480W FC-E 4800,",,Manual,,Paper Towel,"ScrOG,Topping,Defoliation,",,24,,152,35,831,,
N1 sakura,Kerosene Krash,Dutch Passion,300 watt,,,"Soil Grow Medium,",,"ScrOG,Topping,",60,13,2,35,7,1062,,500
#1 Bluedream Autoflower,Mavi Rüya,Custom Breeder & Strain,900 watt,"Advanced Nutrients,Hesi,Atami,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,FIMing,Defoliation,",2,13,9,111,50,1218,1460,10000
Autoflower Bluedream,Blue Dream,Seedsman,900 watt,"Hesi,Advanced Nutrients,Atami,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Other,"Topping,FIMing,Defoliation,",2,13,9,61,35,1293,1460,10000
Sorbete de Galletas!,Cookies Sherbert Auto,Medical Seeds,250 watt,"Advanced Nutrients,CannaBioGen,Grotek,",Manual,"Soil Grow Medium,",Paper Towel,,40,9,1,20,13,323,59,188
Sea of Green,Random Auto seeds,Custom Breeder & Strain,310 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,"ScrOG,SoG,",3.66,8,10,25,8,573,,221.13
Royal Highness,Royal Highness,Royal Queen Seeds,120 watt,"Bio Tabs,BioBizz,Hy-Pro,",,"Coco Coir Grow Medium,Expanded Clay Grow Medium,",,,0.35,13,1,59,18,1077,130,430
White Widow x Big Bud Tent 4 - 10/10/22,White Widow x Big Bud,Female Seeds,1200 watt,"BioBizz,Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,"SoG,Topping,",0.22,12,14,20,5,1257,141.75,1417.47
Cafe Racer Blimburn,Cafe Racer,Blimburn Seeds,600 watt,"BIOCANNA,Dynomyco,Gaia Green,Nortembio,",Manual,"Soil Grow Medium,",Directly In Substrate,"Topping,Defoliation,LST,HST,",0.37,13,1,13,6,460,,304
RQS - Bubble Kush Auto,Bubble Kush Automatic,Royal Queen Seeds,120 watt,"PLAGRON.,",Manual,"Soil Grow Medium,",Paper Towel,"LST,",,8,1,1,0,211,,98
SubLIMEinaL / Queen Ann,Coopmc-LemonWalker CB?,Custom Breeder & Strain,800 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,"ScrOG,Topping,",,19,1,73,58,232,,220
GrowN'Smoke Season 8,Peyote Critical,Barney'S Farm,700 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,7.62,21,3,71,28,2174,,502
Sour Livers x Livers BX1,Sour livers x Li,Custom Breeder & Strain,600 watt,,Manual,"AC Infinity Cloudlab 866 Advance Grow Tent 5x5 (60"" X 60"" X 80""),Soil Grow Medium,Perlite Grow Medium,",,"LST,",42.67,11,4,3,1,60,,155.92
Greenhouse grow,Northern Lights Auto,Seedsman,,,Manual,"Soil Grow Medium,",,"Defoliation,",,13,1,4,0,182,,90
Mimosa x Orange Punch (Barney’s Farm),Mimosa x Orange Punch,Barney'S Farm,310 watt,"Canna,",Manual,"Coco Coir Grow Medium,",Directly In Substrate,"Defoliation,",,19,1,45,14,2269,,
King in the north 1rst auto,King in the north,Original Sensible Seeds,920 watt,"BuildASoil,",Manual,"Gorilla Grow Tent GGT 4x4,Soil Grow Medium,Other Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",,"LST,",1.22,5,1,0,0,52,,963.88
Gorilla Cookies,Gorilla Cookies Auto,Fast Buds,240 watt,,Manual,"Soil Grow Medium,",Other,"LST,Topdress with 1/2 cup End Game Flowering Mix,",1.22,13,1,91,56,1942,93.55,672
MANDARINE,Home Grown Cannabis Co,Custom Breeder & Strain,300 watt,"Gaia Green,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"Defoliation,",,10,,72,32,162,,
Lava In Mars,Lava Freeze,Super Sativa Seed Club,"LED / 480W FC-E 4800,",,Manual,,Paper Towel,"ScrOG,Defoliation,Topping,",,24,,123,24,486,,
Purple lemonade auto,Purple Lemonade Auto,Fast Buds,150 watt,,Manual,"Biobuzz Grow Medium,",,"LST,Defoliation,",Custom,11,1,37,47,1199,76,
First Timer - Amnesia Haze Auto,Amnesia Haze Auto,Barney'S Farm,156 watt,"Jobe's Organics,",Manual,"Soil Grow Medium,Peat/Spagnum moss Grow Medium,Vermiculite Grow Medium,Perlite Grow Medium,",Paper Towel,"Defoliation,LST,",0.46,14,1,72,42,1787,50,242
CLONE Cherry Gar-see-ya R1,Cherry Gar-see-ya R1,ETHOS Genetics,,"T-REX,FloraFlex,Terpinator,Purpinator,",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",,"LST,SoG,Topping,Defoliation,",0.8,9,1,28,7,521,20,227
Seasson Red Gorilla Girl,Red Gorilla Girl XL Auto,Sweet Seeds,250 watt,"CannaBioGen,Advanced Nutrients,Grotek,",Manual,"Soil Grow Medium,",Paper Towel,,40,8,1,20,6,1119,65,223
#6 Gorilla Cookies FB,Gorilla Cookies Auto,Fast Buds,260 watt,"PLAGRON.,Canna,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"ScrOG,",1,12,3,45,22,1725,405,1200
Green Crack 2022,Green Crack feminized seeds,Weedseedsexpress,2000 watt,"Cultured Biologix,",Manual,"Gorilla Grow Tent GGT 2x4,Soil Grow Medium,",Directly In Substrate,"12-12 From Seed,ScrOG,Topping,LST,Defoliation,",0.74,16,2,48,6,1080,,250
Watermelon Zkittles Clone Clone,Watermelon Zkittlez,Barney'S Farm,200 watt,"Lotus Nutrients,Botanicare,General Hydroponics (GHE),Fish Head Farms,",Hydroponics,,Directly In Substrate,"LST,Topping,Defoliation,HST,",2.44,18,1,15,9,704,28,
Runtz X Layer Cake | Barney's Farm,Runtz x Layer Cake,Barney'S Farm,300 watt,"PLAGRON.,Green Planet Nutrients,Terpinator,Atami,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,LST,Defoliation,",0.9,11,1,33,11,2716,60,60
Strawberry pie auto window grow,Strawberry Pie Auto,Fast Buds,390 watt,"Down To Earth,Advanced Nutrients,",Manual,"Coco Coir Grow Medium,Soil Grow Medium,Perlite Grow Medium,Biochar Grow Medium,",Glass Of Water,"Trellis,Pruning,Defoliation,",,11,1,7,3,390,,
Zkittlez Pox,Zkittlez Auto,Seedsman,300 watt,"Dynomyco,",Manual,"Living soil Grow Medium,Perlite Grow Medium,",Other,"Topping,LST,6/2 light schedule,Defoliation,Supercrop,7/1 light schedule,",0.79,13,1,291,150,962,206,550
Supafreak In Mars,Supafreak,Humboldt Seed Company,480 watt,,Manual,,Paper Towel,"ScrOG,Topping,Defoliation,",,24,,139,12,1033,,
Tripping out,LSD-25 Auto,Fast Buds,330 watt,"Dynomyco,",Manual,"Living soil Grow Medium,Perlite Grow Medium,",Other,"Topping,LST,Defoliation,",0.76,9,1,288,217,934,70,330
Adirondack 2022 #2 - Super Lemon Haze,Super Lemon Haze,ILGM,400 watt,"General Hydroponics (GHE),",Hydroponics,"Hydro Crunch Grow Room Tent 4x 4x 6.5,Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"Defoliation,ScrOG,Main-Lining,Topping,HST,Autopot,",1.49,19,3,7,3,351,176,112
"Wilson cross- weddingcake,watermelon Z.",Wilson cross,Custom Breeder & Strain,1260 watt,"Aptus,BIOCANNA,Canna,Bio Tabs,",Manual,"Soil Grow Medium,",,"SoG,",1.4,7,35,1,0,127,,250
Freakshow In Mars,Freakshow,Humboldt Seed Company,480 watt,,Manual,,,"Defoliation,ScrOG,",,24,,109,12,938,,
Dramatic Run _Northern Lights Automatic,Northern Light Automatic,Royal Queen Seeds,200 watt,"BioBizz,",Drip,"Soil Grow Medium,",,"LST,",1,12,4,5,2,304,125,
~ Dutch Passion Auto Lemon Kix ~,Auto Lemon Kix (Auto Lemon Zkittle),Dutch Passion,660 watt,"Xtreme Gardening,Dutchpro USA,Lotus Nutrients,Earth Juice,",Manual,"Gorilla Grow Tent GGT 4x8,Coco Coir Grow Medium,Perlite Grow Medium,",,,4.88,11,2,64,25,870,265,846
"PotG Auto, 3rd attempt",Planet Of The Grapes Auto,ETHOS Genetics,600 watt,"Botanicare,General Hydroponics (GHE),Fox Farm,",Manual,"Soil Grow Medium,FFOF Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,Leaf Tucking,Defoliation,",49.21,11,6,138,48,715,,
Gorilla Zkittlez Auto - 2fast4buds,Gorilla Zkittlez Auto,Fast Buds,288 watt,"Botanicare,Fox Farm,Fish Head Farms,Real Growers,",,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,,,13,4,13,5,608,,354
HAN-SCOTT,Dark side seeds - Han Scott,Custom Breeder & Strain,"LED / 150W Custom,","Top Crop,",Manual,"Soil Grow Medium,Coco Coir Grow Medium,Arroz Cascarilla Grow Medium,",,"LST,",,18,1,12,2,165,,52
Afghani #1 sensi seeds,Afghani #1,Sensi Seeds,310 watt,,Manual,"Autre Grow Medium,Coco Coir Grow Medium,Soil Grow Medium,",,"Defoliation,LST,ScrOG,",1.44,19,1,19,6,612,,678
Big yield auto,Big Yield Auto,Phoenix Seeds,100 watt,"Buddhas Tree,Canna,PLAGRON.,",Manual,"Coco Coir Grow Medium,",Glass Of Water,"ScrOG,LST,Defoliation,",Custom,13,,75,22,480,,
Larry Lemon OG x3,Larry Lemon OG Auto,Seedsman,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,12,3,58,16,698,,316
Strawberry Cheesecake Auto x6,Strawberry Cheesecake Auto,Seedsman,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,14,6,19,11,438,,440
Runtz Auto x4,Runtz Auto,Original Sensible Seeds,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,14,4,16,0,301,,360
Skywalker OG Auto Grow,Skywalker OG Auto,Barney'S Farm,1200 watt,"Green House Feeding,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,,0.25,10,1,6,3,486,37,275
Black Dog Auto x4,Black Dog Auto,Original Sensible Seeds,1000 watt,,Manual,,,"LST,",,14,4,6,2,191,,274
Choco Kush Auto x4,Choco Kush Autoflower,Amsterdam Genetics,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,12,4,28,7,308,,520
Mimosa X Orange Punch #2,Mimosa x Orange Punch,Barney'S Farm,250 watt,"Canna,PLAGRON.,Gold Label,Plant Success (Plant Revolution),",Manual,"HID / 250W MH Grow 250w,coco Grow Medium,Perlite Grow Medium,",,,1,12,1,24,4,1196,140,900
Grape Soda Auto x4,Grape Soda Auto,Original Sensible Seeds,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,14,4,9,9,515,,340
Frosted Guava Auto x3,Frosted Guava Automatic,Zamnesia Seeds,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,12,3,10,0,526,,370
White Widow Auto x6,White Widow Auto,Seedsman,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,12,6,8,6,382,,580
Cherry Alien Auto x3,Cherry Alien Auto,Original Sensible Seeds,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,14,3,21,3,504,,260
Choc Mint OG Clones DWC,Chocolate Mint OG,Humboldt Seed Organization,480 watt,"Ecothrive,Advanced Nutrients,General Hydroponics (GHE),",Hydroponics,"Other Grow Medium,",Peat Pellet,"Defoliation,",2.74,15,4,85,37,1509,448,1792
S05: Choco Haze by Zamnesia,Choco Haze,Zamnesia Seeds,600 watt,"Green Buzz Nutrients,",Drip,"Coco Coir Grow Medium,",Paper Towel,"Topping,LST,Defoliation,Lollipoping,",,8,1,41,9,249,20,85
Royal Gorilla- mini organic grow,Royal Gorilla,Royal Queen Seeds,95 watt,"BioBizz,Advanced Nutrients,Atami,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,LST,ScrOG,Defoliation,",0.2,18,1,42,22,1368,95,
1st one,Zkittlez OG Auto,Barney'S Farm,300 watt,"Advanced Nutrients,Vitalink,",Hydroponics,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Defoliation,ScrOG,LST,",1.22,21,2,60,16,2781,73.5,130
Incredible HulkBerry - MH TSW2000 - RQS,Hulkberry,Royal Queen Seeds,310 watt,"Hesi,RQS Organic Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,Coco Coir Grow Medium,",Other,"LST,Defoliation,",1.44,14,1,348,248,1427,67,67
Outlier Z,Outlier Z Auto,Night Owl Seeds,640 watt,"Fox Farm,Fish Head Farms,Advanced Nutrients,Terpinator,",,"Promix HP-CC Grow Medium,",,"LST,Defoliation,",4.88,14,1,45,12,925,67.4,
Lemon Auto,Auto Lemon,Seedsman,650 watt,"Growth Technology,Plant Success (Plant Revolution),Botanicare,General Hydroponics (GHE),",Manual,"AC Infinity Cloudlab 866 Advance Grow Tent 5x5 (60"" X 60"" X 80""),Soil Grow Medium,",Other,,7.62,15,1,14,5,984,,
Zkittles Seedsman Grow,Zkittlez Auto,Seedsman,650 watt,"Growth Technology,Plant Success (Plant Revolution),Botanicare,General Hydroponics (GHE),",,"AC Infinity Cloudlab 866 Advance Grow Tent 5x5 (60"" X 60"" X 80""),Soil Grow Medium,",Other,,7.62,15,3,14,8,1077,,
Strawberry Cheesecake Auto,Strawberry Cheesecake Auto,Seedsman,650 watt,"Growth Technology,Plant Success (Plant Revolution),Botanicare,General Hydroponics (GHE),",Manual,"AC Infinity Cloudlab 866 Advance Grow Tent 5x5 (60"" X 60"" X 80""),Soil Grow Medium,",Other,,,15,,15,15,424,,
Sour Stomper,Sour Stomper,Mephisto Genetics,300 watt,"BuildASoil,",Manual,"Soil Grow Medium,Other Grow Medium,",,"LST,Defoliation,",0.76,6,2,6,3,329,,80
Bluntz - SinCity Seeds,Bluntz,SinCity Seeds,1200 watt,"General Hydroponics (GHE),Botanicare,",Hydroponics,"Gorilla Grow Tent GGT 4x8,Expanded Clay Grow Medium,",Paper Towel,"Defoliation,Topping,LST,ScrOG,",,10,,8,3,293,,
S05: Wedding Crasher by RQS,Wedding Crasher,Royal Queen Seeds,600 watt,"Green Buzz Nutrients,",Drip,"Coco Perlite Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",,8,1,20,4,204,20,95
Fastbuds Variety Grow,Afghan Kush Auto,Fast Buds,,"Fox Farm,Mammoth Microbes,Advanced Nutrients,Earth Juice,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,,,FLOWERING,,414,277,2356,,
S05: Gelato Auto by Fast Buds,Gelato Auto,Fast Buds,600 watt,"Green Buzz Nutrients,",Drip,"Coco Perlite Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",1.2,8,1,38,12,637,12,65
S05: Green Gelato Auto by RQS,Green Gelato Automatic,Royal Queen Seeds,600 watt,"Green Buzz Nutrients,",Drip,"Coco Perlite Grow Medium,",Paper Towel,"LST,Defoliation,",1.2,7,1,54,34,795,24,90
S05: Cherry Cola by Fast Buds,Cherry Cola Auto,Fast Buds,600 watt,"Green Buzz Nutrients,",Drip,"Coco Perlite Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",1.2,8,1,29,17,488,18,84
TFTC: The Laughing Martian God,Laughing Buddha,Barney'S Farm,150 watt,"BioBizz,Canna,",Manual,"Soil Grow Medium,",,"LST,Defoliation,Topping,",0.48,20,1,164,141,733,184,120
2x Dark Devil Auto (Sweet Seeds),Dark Devil Auto®,Sweet Seeds,450 watt,"Advanced Nutrients,",,"Soil Grow Medium,",,,,11,,36,15,1481,60,200
2x Hubbabubbasmelloscope,Hubbabubbasmelloscope,Mephisto Genetics,,"Advanced Nutrients,",,"Soil Grow Medium,",,,,10,2,18,5,665,80,250
Super Lemon Haze Auto x2,Super Lemon Haze Auto,Green House Seed Co.,,"Advanced Nutrients,",,"Soil Grow Medium,",,,,11,2,18,2,2452,70,150
Lemon AK-47,Lemon AK Auto,Fast Buds,450 watt,"Advanced Nutrients,",,"Soil Grow Medium,",,,,10,1,13,11,1324,66,62
Green Gelato Noobie,Green Gelato Automatic,Royal Queen Seeds,200 watt,"BioBizz,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",Other,"LST,Defoliation,",0.8,10,2,8,4,752,63,308
Autos,Pineapple Express Auto,Fast Buds,,"Gaia Green,",,,,"Defoliation,LST,",,11,1,19,14,364,,
RQS - ORGANIC CHILL - JOANNES CBD :),Joanne's CBD,Royal Queen Seeds,450 watt,"BioBizz,",Manual,"BioBizz LightMix Grow Medium,",Paper Towel,"Main-Lining,Defoliation,",1.6,12,1,13,1,376,,
"Devil in a Bucket, Dark Devil DWC",Dark Devil Auto®,Sweet Seeds,150 watt,"PLAGRON.,Atami,",Hydroponics,"Expanded Clay Grow Medium,",Rockwool Cube,"ScrOG,LST,Leaf Tucking,Defoliation,HST,",0.49,13,1,55,15,1035,165,165
The new era,Dos Si Dos 33,Barney'S Farm,"LED / 300W FC-E 3000,LED / 300W FC-E 3000,","BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,Topping,ScrOG,",,FLOWERING,,20,5,1497,,
Garden of Weeden,Russian Auto,Fast Buds,300 watt,"FloraFlex,Technaflora,",Hydroponics,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Expanded Clay Grow Medium,",Paper Towel,"LST,Defoliation,",1.49,12,1,4,7,399,,
White Widow,White Widow (fem),ILGM,310 watt,"Down To Earth,General Hydroponics (GHE),Real Growers,",Manual,"Soil Grow Medium,",Paper Towel,"12-12 From Seed,Defoliation,LST,",0.91,15,2,89,35,1324,,288
Cookie Gelato Auto - RQS,Cookies Gelato Automatic,Royal Queen Seeds,250 watt,"BioBizz,PLAGRON.,Ecothrive,",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Expanded Clay Grow Medium,Other Grow Medium,",,"ScrOG,HST,LST,Defoliation,",2,12,3,8,5,826,,
SSSC Auto Creeper /Almicanna Living Soil,Auto Creeper,Super Sativa Seed Club,190 watt,,Manual,"Almicanna living soil Grow Medium,",,"Topping,LST,Defoliation,",0.64,19,1,56,16,787,190,792
"Banana Punch, 1st attempt with LED",banana punch,Custom Breeder & Strain,450 watt,"Canna,PLAGRON.,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,LST,Defoliation,",1,14,6,6,8,1212,585,585
Swiss cheese,Swiss Cheese Autoflower,Nirvana,,,Manual,,Paper Towel,"LST,",0.8,13,1,0,0,34,,375
Purple majik x blue gorilla,Purple Majik R1,ETHOS Genetics,200 watt,"Fox Farm,Advanced Nutrients,General Hydroponics (GHE),",Manual,"Perlite Grow Medium,Compost Grow Medium,",,"Flushing,LST,Monstercrop,Reveg,",Custom,12,,10,4,211,,
BC x CK #2,Blackcherry pie x Candykush,Custom Breeder & Strain,,,Manual,,,,,9,1,2,2,111,83.5,359
2°b DWC Gorilla Zki FB420 - 2X2 TS1000,Gorilla Zkittlez Auto,Fast Buds,150 watt,"General Hydroponics (GHE),Atami,Canna,",Hydroponics,"Expanded Clay Grow Medium,root riot Grow Medium,",Directly In Substrate,"LST,HST,Leaf tucking,ScrOG,Defoliation,Lollipopping,",0.36,15,1,177,41,2660,134,550
107_Purple Punch Auto,Purple Punch Auto,Fast Buds,,,Hydroponics,,,"LST,",,11,1,3,6,741,30,
Pistachio Humboldt Seed Co,Pistachio,Humboldt Seed Company,300 watt,"Down To Earth,",Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Coco Coir Grow Medium,",Glass Of Water,"HST,Defoliation,ScrOG,Topping,LST,",2.44,17,1,240,62,1752,,
INFERNO!!!,Mandarin Sunset,ETHOS Genetics,856 watt,"Superthrive,Fox Farm,True Plant Science (TPS),Bio Tabs,Humboldts Secret,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,1.83,12,3,113,23,893,473,
Orange Creamsicle Humboldt Seed Co,Humboldt Seed Company - Orange Creamsicle,Custom Breeder & Strain,300 watt,"Down To Earth,General Hydroponics (GHE),",Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Coco Coir Grow Medium,Perlite Grow Medium,",Glass Of Water,"Defoliation,LST,Topping,",2.44,17,1,210,58,1830,55.84,
2°a DWC Kosher FB420 - 2X2 TS1000,Kosher Cake Auto,Fast Buds,150 watt,"General Hydroponics (GHE),Atami,Growth Technology,Canna,",Hydroponics,"Expanded Clay Grow Medium,root riot Grow Medium,",Directly In Substrate,"Leaf tucking,LST,HST,ScrOG,Defoliation,Lollipopping,",0.36,15,1,157,42,1149,147,600
White Widow Auto Fem #2,White Widow,Seedsman,"LED / 320W Custom,","Fox Farm,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Lollipoped,Defoliation,",3.05,12,1,12,5,244,28.35,56.7
Barney's Session,Mimosa Evo,Barney'S Farm,231 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,0.36,18,1,54,11,2608,195,
Blackberry Moonrocks by Anesia Seeds,Blackberry Moonrocks®,Anesia Seeds,310 watt,"Fox Farm,Botanicare,",Manual,"Foxfarm Ocean Forest Potting Soil Grow Medium,",Directly In Substrate,"LST,Topping,HST,Defoliation,",0.91,14,1,28,18,2069,240.98,711.27
